gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1453441806,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5141162,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.43878,-114.030097,,,,,,,2017-02-19T17:09:15Z,19,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5141162,,,2017-02-20T16:40:38Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:25:45.548Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453441488,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5140263,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.09415,-115.453353,,,,,,,2017-02-19T10:05:00Z,19,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5140263,,,2017-02-20T04:42:06Z,CC_BY_NC_4_0,Lauren Harter,Lauren Harter,,,2018-12-30T13:33:48.971Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453440766,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5138915,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.639467,-114.24202,,,,,,,2017-02-19T15:29:25Z,19,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5138915,,,2017-02-20T16:40:21Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:33:58.191Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453432900,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5125979,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.606875,-111.805947,,,,,,,2017-02-17T12:09:30Z,17,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5125979,,,2017-02-17T22:49:34Z,CC_BY_NC_4_0,Steve Jones,Steve Jones,,,2018-12-30T13:25:31.171Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453429291,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5117415,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.827255,-112.421203,,,,,,,2017-02-15T15:28:30Z,15,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5117415,,,2017-02-16T05:26:04Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:33:42.458Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453429282,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5117403,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.827203,-112.420587,,,,,,,2017-02-15T15:13:02Z,15,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5117403,,,2017-02-16T05:20:19Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:18:00.907Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453429097,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5116959,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.826795,-112.420412,,,,,,,2017-02-15T15:17:46Z,15,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5116959,,,2017-02-16T03:32:05Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:17:38.391Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453427645,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5113841,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.27562,-111.091392,,,,,,,2017-02-14T14:08:47Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5113841,,,2017-02-15T17:43:24Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:09:50.918Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453427463,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5113416,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.4605,-111.9545,30,,,,,,2017-02-14T09:57:00Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5113416,,,2017-02-15T16:26:55Z,CC_BY_NC_4_0,Steve Wells,Steve Wells,,,2018-12-30T22:08:05.671Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84
1453427443,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5113333,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.276905,-111.091789,,,,,,,2017-02-14T13:59:09Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5113333,,,2017-02-16T05:09:15Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T22:08:05.551Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453427010,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5112304,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.272853,-111.093842,,,,,,,2017-02-14T14:33:20Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5112304,,,2017-02-16T04:26:15Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T22:08:05.317Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426989,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5112322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.273287,-111.093772,,,,,,,2017-02-14T14:28:56Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5112322,,,2017-02-15T07:20:47Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T22:08:05.386Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426944,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5112116,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.272297,-111.090514,,,,,,,2017-02-14T14:58:50Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5112116,,,2017-02-15T06:12:10Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:33:42.447Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426859,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5111945,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.272567,-111.086883,,,,,,,2017-02-14T15:07:10Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5111945,,,2017-02-16T19:38:25Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:25:36.502Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426844,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5111962,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.272195,-111.087822,,,,,,,2017-02-14T15:05:29Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5111962,,,2017-02-16T19:16:04Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T22:08:05.490Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426808,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5111789,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.278222,-111.090553,,,,,,,2017-02-14T13:49:26Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5111789,,,2017-02-15T04:58:53Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:09:33.801Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1453426777,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5111941,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,,SPECIES,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) Knuth,US,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.272555,-111.086892,,,,,,,2017-02-14T15:07:17Z,14,2,2017,7282888,7282888,HUMAN_OBSERVATION,iNaturalist,Observations,5111941,,,2017-02-16T19:38:37Z,CC_BY_NC_4_0,CK Kelly,CK Kelly,,,2018-12-30T13:25:24.498Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
